Student ID	Grade	1st	2nd	3rd	4th	5th	6th	7th
1	12	Smith, T.- CAREER TECH IN III				Smith, T.- ACADEMIC CONTACT	Smith, T.- CAREER TECH IN III	
2	12	Carithers, D.- CAREER TECH IN III				Carithers, D.- ACADEMIC CONTACT	Carithers, D.- CAREER TECH IN III	
3	12	Jones, P.- GENERAL PE I	Dunbar, H.- INTRO BUSI TECH	Fowler, M.- 12 BR LIT & COMP	Sochacki, E.- ECON & PERS FIN	Cason, C.- INTRO TEAM SPORTS	Underwood, Z.- ACADEMIC CONTACT	Dunbar, H.- FINANCE LIT
4	12	Witmer, C.- AP MACRECON GF	Rovie, E.- AP LANG COMP GF	Allgood, A.- LATIN III	Thornton, C.- AP ENV SC GF	Echevarria, A.- ACADEMIC CONTACT	Lindahl, L.- MUSIC THEAT II	Conway, C.- STAT REASONING
5	12	Koontz, A.- AP AM GOV	Haynes, J.- FORENSIC SCI HON	Stanley, L.- MSTRY BAND II	Rovie, E.- AP LIT/COMP	Campbell, T.- STAT REASONING	Meunier, P.- ACADEMIC CONTACT	Swanson, K.- AP PSYCH
6	12	Grigg, A.- US HISTORY	Steele, E.- 11 AM LIT & COMP	Fowler, M.- 12 BR LIT & COMP	Schmiedt, I.- ACADEMIC CONTACT	Hill, J.- AMGOV/CIV	Mohsen, A.- FOREN SCI	Allison, D.- STAT REASONING
7	11	Debban, E.- DRAW/PAINT I	Sochacki, E.- US HISTORY	Underwood, Z.- PHYSICS	Zellner, C.- 11 AM LIT & COMP	Zellner, C.- CAREER TECH IN I	Zellner, C.- ACADEMIC CONTACT	Manners, J.- STDYSKILLS B
8	12						Allgood, A.- LATIN III	Erwin, J.- AP CHEM GF
9	12	Woods, L.- 12 BR LIT & COMP	Winzeler, M.- GAME D:ANIM &SIMUL	Witmer, C.- AP MACRECON GF	Boyt, M.- ACADEMIC CONTACT	Costigan, C.- BEG MUSIC TECH	Campbell, T.- AP STAT GIFT	Phillips, L.- AP COMPSCI A GIF
10	12	Mclendon, J.- PRECALCULUS	Crawford, A.- 12 BR LIT&COMP HON	Stanley, L.- MSTRY BAND I	Myers, M.- ADV PHYS ROBOTIC	Lucky, J.- ACADEMIC CONTACT	Mcdaniel, J.- ECON & PERS FIN HON	Dunbar, H.- FINANCE LIT
11	12	Mclendon, J.- PRECALCULUS	Stanley, L.- ADV BAND I	Woods, L.- 12 BR LIT & COMP	Thompson, E.- ACADEMIC CONTACT	Chelko, K.- MAXWELL PM		
12	12	Ulloa, D.- 12 BR LIT & COMP	Ulloa, D.- ADV FINANCIAL ALG	Ulloa, D.- ENV SC	Ulloa, D.- ECON & PERS FIN	Ulloa, D.- ACADEMIC CONTACT	Ulloa, D.- CURRENT ISSUES	Ulloa, D.- ADV LT SP
13	12	Kling, D.- AP LIT/COMP GF	Pearson, J.- SPORTS MEDICINE	Delong, B.- AMGOV/CIV HON	Linderman, A.- PEER FAC I	Witmer, C.- ACADEMIC CONTACT	Campbell, T.- AP STAT GIFT	Gorun, J.- AP RES ELA-CAP GF
14	11	Dunbar, H.- INTRO BUSI TECH	Sochacki, E.- US HISTORY	Underwood, Z.- PHYSICS	Zellner, C.- 11 AM LIT & COMP	Crews, L.- MEDIA ARTS I	Underwood, Z.- ACADEMIC CONTACT	Gault, K.- STDYSKILLS B
15	12	Boyt, M.- ECON & PERS FIN	Campbell, T.- STAT REASONING	Walsh, B.- 12 BR LIT&COMP HON	Thompson, E.- ACADEMIC CONTACT	Chelko, K.- MAXWELL PM		
16	12	Gomez, S.- 12 BR LIT & COMP	Gomez, S.- ADV FINANCIAL ALG	Gomez, S.- ENV SC	Gomez, S.- ECON & PERS FIN	Gomez, S.- ACADEMIC CONTACT	Gomez, S.- CURRENT ISSUES	Gomez, S.- ADV LT SP
17	12	Morrison, D.- PHYSICS	Jackson, D.- FINANCE LIT	Campbell, T.- STAT REASONING	Zoeller, C.- ACADEMIC CONTACT	Cason, C.- INTERMED TEAM SPORTS	Woods, L.- MULTICUL LIT/ COMP	Robertson, M.- AMGOV/CIV
18	12	Gomez, S.- 12 BR LIT & COMP	Gomez, S.- ADV FINANCIAL ALG	Gomez, S.- ENV SC	Gomez, S.- ECON & PERS FIN	Gomez, S.- ACADEMIC CONTACT	Gomez, S.- CURRENT ISSUES	Gomez, S.- ADV LT SP
19	11	Leyva, M.- 11 AM LIT & COMP	Leyva, M.- ADV ALG: CONC & CONN	Leyva, M.- PHYS SCI	Leyva, M.- US HISTORY	Leyva, M.- ACADEMIC CONTACT	Leyva, M.- PSNL FINANCIAL LIT	Leyva, M.- INTERMED TEAM SPORTS
